23,279,294,809,891,955,1044,1274,1346,1877,2078,3126,3660,4025,4289,4301,4313,4636,5038,6508,7049,7127,7468,7529,7587,8371,8519,8917,8934,9019,9507,9977,10307,10373,10409,10574,10680,10839,10999,11022,11088,11176,11315,11420,12259,12346,13130,13336,13421,13451,13577,14415,14450,14925,15211,15439,15804,15829,15918,16006,16392,16732,16778,16900,17439,17582
30,1545,1712,2168,2246,2550,3145,3750,3863,4037,4049,4055,4126,4140,4371,4996,5204,5378,5414,5487,5492,5979,6264,6834,6987,7056,7158,7628,8537,9585,9841,10043,10067,10420,10553,10816,10838,10841,10847,10865,10939,11143,11172,11842,12221,12586,12867,13126,13399,13521,13559,13885,14559,14578,14752,14878,15119,15572,15770,16058,16501,16524,16884,16902,16986,17086
20,86,189,814,1053,1085,1121,1715,1735,1927,2081,2330,2386,2551,2949,3111,3274,3381,3587,3802,3868,4128,4489,4894,5196,5349,5508,5565,6228,6681,6694,6878,7009,7314,7614,8266,8308,8910,8999,9346,9954,10257,10433,10885,10892,10909,11259,11593,11694,11816,11967,12205,12518,13839,14492,14535,14628,14855,15483,15850,16009,16014,16808,17449,17467,17622
134,342,896,1091,1478,1824,1949,2263,2649,2795,3130,3189,3317,3679,4250,4388,4547,4564,5178,5530,5669,6300,6596,6702,6709,7785,7912,7987,8135,8256,8618,8861,9005,9044,9284,9355,10589,10771,10918,11224,11296,11320,11509,11667,11736,11795,12066,12180,12497,12558,12671,12975,13172,13280,13489,14894,15059,15131,15374,15521,15810,16188,16200,16964,17182,17624
122,1146,1465,1707,1948,2488,2490,2628,2835,2925,2977,3543,3897,4071,4489,5098,5247,5565,6053,6165,6276,6739,7080,7110,7314,7849,8268,8450,8573,9009,9610,9741,9912,10084,11092,11122,11142,11180,11256,11309,11407,11956,12051,12128,12191,12282,12456,12532,12674,12794,13495,13911,14311,14339,14399,14626,15361,15630,15932,15963,16172,16190,16390,16558,17205,17307
39,556,823,1338,1588,2072,2282,2645,3102,3193,3216,3252,3388,3730,4784,5116,5257,5298,5668,6027,6469,6512,6530,6553,6982,7113,7274,7466,7668,7761,7981,8125,8380,8894,9015,9091,9095,9562,9992,10338,10487,10528,10584,11481,11630,12532,12654,12914,12922,12980,13135,13269,13590,14191,14337,14343,14397,15088,15746,16187,16193,16453,16540,16600,16892,17341
89,307,599,732,857,949,1158,1306,1717,1836,2139,2172,2177,2277,2545,2699,2860,3306,3531,3675,4045,4612,4620,4788,5060,5478,5494,6363,6513,6639,7300,7556,8171,8604,8760,8991,9042,9457,9576,9614,9760,9790,9798,10000,10612,11443,12230,12653,13022,13168,13188,13618,13756,14555,14769,14885,15093,15403,15801,16505,16700,16873,16885,17416,17508,17562
902,1004,1358,1447,1555,2022,2436,2460,2636,2867,3066,3482,3681,4351,4462,4689,4765,4993,5263,5687,5784,6006,6218,6401,6730,6905,6998,7123,7694,7835,7896,8127,8351,8461,8679,9281,9566,9630,9681,10212,10386,11042,11362,11580,11807,12173,12348,12990,13047,13092,13182,13251,13271,14123,14901,14910,15019,15267,15411,15686,15706,16044,16172,16765,16945,16969
203,471,731,821,983,1231,1295,2386,2759,3328,3875,4066,4300,4388,4526,5485,5500,5686,5688,5722,6173,6252,6289,6804,7588,7820,8041,8728,9354,9371,9436,9774,9905,10222,10233,10381,10469,10530,10559,10625,11366,11389,11564,11920,11978,12141,12148,12427,12750,12917,13146,13236,13537,13670,13739,13823,14472,14608,14820,15082,15088,15419,15973,16894,17307,17497
25,173,1491,1608,1633,2191,2790,3116,3186,3332,3452,3768,3849,3882,4144,4351,4353,4573,4635,4973,5229,5528,5688,5692,5826,6279,6334,6403,6798,6922,7118,7517,7919,8055,8510,8676,8861,9491,9722,9991,10466,10470,10544,10596,10720,11297,11675,11768,11898,12101,12143,12322,12396,12416,13054,13093,13192,13512,13681,14471,15489,16475,16607,16928,17193,17649
24,30,50,670,734,959,1276,2178,2715,2834,3168,3324,3525,3573,3684,4329,4397,4674,5586,5898,6041,6280,6931,7205,7504,7843,8021,8169,8285,8296,8449,8563,8645,8758,8808,8884,9616,9761,9833,9971,10912,11002,11076,11529,11650,11842,12262,12385,12557,13083,13192,13229,13643,13980,14113,14972,15802,15952,15971,16186,16329,16760,17109,17200,17299,17483
24,489,595,706,1033,1475,1587,1790,1956,2078,2422,3405,4005,4500,4717,4824,4834,4975,5133,5365,5720,6083,6125,6409,6756,7384,7903,8444,9044,9308,9517,9527,10551,10930,10948,11091,11298,11344,11377,11548,11595,11666,11994,12025,12100,12510,12640,12723,12875,13402,13492,13685,13957,14172,14248,14379,14498,14693,15002,15699,15826,16191,16391,16537,16843,17544
